	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
PNMAL2_-_46999086.23-P1P2|PNMAL2_+_46999093.23-P1P2++PNMAL2_-_46999086.23-P1P2|PNMAL2_+_46999093.23-P1P2	PNMAL2	82	26	270	50	858	30	64	314	52
non-targeting_03484|non-targeting_02953++non-targeting_03484|non-targeting_02953	non-targeting	796	660	288	690	1220	596	582	234	516
KIAA0020_-_2838411.23-P2|KIAA0020_+_2838424.23-P2++KIAA0020_-_2838411.23-P2|KIAA0020_+_2838424.23-P2	KIAA0020	468	340	108	246	438	250	260	206	226
PROZ_+_113813020.23-P1P2|PROZ_+_113813024.23-P1P2++PROZ_+_113813020.23-P1P2|PROZ_+_113813024.23-P1P2	PROZ	1136	946	432	1252	2162	736	856	640	658
DAW1_-_228736388.23-P1P2|DAW1_-_228736382.23-P1P2++DAW1_-_228736388.23-P1P2|DAW1_-_228736382.23-P1P2	DAW1	884	716	330	1054	1624	680	796	424	646
ABCC10_+_43395315.23-P1P2|ABCC10_-_43395343.23-P1P2++ABCC10_+_43395315.23-P1P2|ABCC10_-_43395343.23-P1P2	ABCC10	1210	592	404	936	1588	542	854	616	658
RIMBP3B_-_21737871.23-ENST00000434111.1|RIMBP3B_-_21737723.23-ENST00000434111.1++RIMBP3B_-_21737871.23-ENST00000434111.1|RIMBP3B_-_21737723.23-ENST00000434111.1	RIMBP3B	1122	924	436	1188	1476	632	776	448	640
MT1B_-_56685858.23-P1P2|MT1B_+_56685861.23-P1P2++MT1B_-_56685858.23-P1P2|MT1B_+_56685861.23-P1P2	MT1B	774	722	272	712	1328	532	580	414	626
non-targeting_01342|non-targeting_01307++non-targeting_01342|non-targeting_01307	non-targeting	1108	1086	476	896	1858	808	1016	638	590
KRT75_-_52828093.23-P1P2|KRT75_-_52828123.23-P1P2++KRT75_-_52828093.23-P1P2|KRT75_-_52828123.23-P1P2	KRT75	1990	1384	594	2002	3090	1252	1272	964	928
SERPINA5_-_95027806.23-P2|SERPINA5_+_95027829.23-P2++SERPINA5_-_95027806.23-P2|SERPINA5_+_95027829.23-P2	SERPINA5	986	956	302	956	1546	764	866	362	562
SLC7A1_+_30169805.23-P1P2|SLC7A1_-_30169565.23-P1P2++SLC7A1_+_30169805.23-P1P2|SLC7A1_-_30169565.23-P1P2	SLC7A1	2002	2032	678	2152	3388	1242	1720	1020	1182
PICALM_-_85779699.23-P1P2|PICALM_-_85780018.23-P1P2++PICALM_-_85779699.23-P1P2|PICALM_-_85780018.23-P1P2	PICALM	1274	1032	424	1254	1906	722	966	506	676
HDAC4_+_240322691.23-P1P2|HDAC4_+_240322666.23-P1P2++HDAC4_+_240322691.23-P1P2|HDAC4_+_240322666.23-P1P2	HDAC4	800	570	284	746	1224	558	574	340	438
BTBD7_+_93799368.23-P1P2|BTBD7_-_93799387.23-P1P2++BTBD7_+_93799368.23-P1P2|BTBD7_-_93799387.23-P1P2	BTBD7	586	704	326	820	1452	620	486	574	314
C9orf41_+_77642874.23-P1P2|C9orf41_+_77643145.23-P1P2++C9orf41_+_77642874.23-P1P2|C9orf41_+_77643145.23-P1P2	C9orf41	5636	4506	2040	4896	8326	3360	4196	2950	2948
CUX1_+_101459266.23-P1P2|CUX1_+_101459269.23-P1P2++CUX1_+_101459266.23-P1P2|CUX1_+_101459269.23-P1P2	CUX1	1388	1176	500	1250	1972	944	892	718	714
