	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
non-targeting_00718|non-targeting_01902++non-targeting_00718|non-targeting_01902	non-targeting	898	1175	886	993	1184	1223	1253	1201	1473	1436	1730	1459	2867	640	706	1011
ZDHHC13_+_19138761.23-P1P2|ZDHHC13_-_19138728.23-P1P2++ZDHHC13_+_19138761.23-P1P2|ZDHHC13_-_19138728.23-P1P2	ZDHHC13	1375	2289	1868	1913	2395	1981	2416	2655	2349	3044	2832	3040	5506	1358	1311	1499
ARNTL2_+_27485837.23-P1P2|ARNTL2_+_27485847.23-P1P2++ARNTL2_+_27485837.23-P1P2|ARNTL2_+_27485847.23-P1P2	ARNTL2	4803	7295	5496	5238	5922	5023	6448	7550	7124	7345	8680	8729	15182	4109	4202	4433
DGKD_-_234263173.23-P1P2|DGKD_+_234263221.23-P1P2++DGKD_-_234263173.23-P1P2|DGKD_+_234263221.23-P1P2	DGKD	1393	1651	1695	1765	2024	1612	2078	2499	2169	2145	2479	3519	5820	1275	1286	1287
STK11_-_1206870.23-P2|STK11_-_1206878.23-P2++STK11_-_1206870.23-P2|STK11_-_1206878.23-P2	STK11	991	1248	945	1118	1760	1200	1737	2095	1397	1816	1981	1894	3963	1039	868	1137
POLE2_+_50154826.23-P1P2|POLE2_+_50154818.23-P1P2++POLE2_+_50154826.23-P1P2|POLE2_+_50154818.23-P1P2	POLE2	507	0	91	64	34	80	22	28	23	72	16	75	7	247	306	464
ZP4_+_238053942.23-P1P2|ZP4_+_238053976.23-P1P2++ZP4_+_238053942.23-P1P2|ZP4_+_238053976.23-P1P2	ZP4	1507	2238	1856	1835	2335	1622	2073	2249	2278	2472	2352	2511	4165	1200	1368	1331
SUMO3_-_46237726.23-P1P2|SUMO3_-_46237741.23-P1P2++SUMO3_-_46237726.23-P1P2|SUMO3_-_46237741.23-P1P2	SUMO3	1143	934	471	683	1079	434	1083	1038	955	1518	1224	1140	3055	778	575	847
GABPB2_+_151043248.23-P1P2|GABPB2_+_151043259.23-P1P2++GABPB2_+_151043248.23-P1P2|GABPB2_+_151043259.23-P1P2	GABPB2	585	620	549	917	993	625	1120	1002	813	969	1356	1121	1946	568	635	742
UBXN2B_-_59323947.23-P1P2|UBXN2B_+_59323961.23-P1P2++UBXN2B_-_59323947.23-P1P2|UBXN2B_+_59323961.23-P1P2	UBXN2B	2239	2496	2148	2336	3245	2412	2358	2557	2757	2602	2801	3684	6597	1599	1938	1661
