relation,display_relation,x_id,x_type,x_name,x_source,y_id,y_type,y_name,y_source
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AAMP,gene,AAMP,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AARS,gene,AARS,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AARS2,gene,AARS2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AASDHPPT,gene,AASDHPPT,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AATF,gene,AATF,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABCA1,gene,ABCA1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABCB10,gene,ABCB10,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABCB7,gene,ABCB7,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABCE1,gene,ABCE1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABCF1,gene,ABCF1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ABT1,gene,ABT1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACACA,gene,ACACA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACAD9,gene,ACAD9,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACAP2,gene,ACAP2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACD,gene,ACD,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTB,gene,ACTB,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTG1,gene,ACTG1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTL6A,gene,ACTL6A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTR10,gene,ACTR10,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTR3,gene,ACTR3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTR5,gene,ACTR5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTR6,gene,ACTR6,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ACTR8,gene,ACTR8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ADAT2,gene,ADAT2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ADAT3,gene,ADAT3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ADSL,gene,ADSL,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AFG3L2,gene,AFG3L2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AHCTF1,gene,AHCTF1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AIFM1,gene,AIFM1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALDOA,gene,ALDOA,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALG1,gene,ALG1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALG11,gene,ALG11,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALG13,gene,ALG13,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALG6,gene,ALG6,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALG8,gene,ALG8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALKBH8,gene,ALKBH8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ALYREF,gene,ALYREF,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AMIGO3,gene,AMIGO3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANAPC1,gene,ANAPC1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANAPC10,gene,ANAPC10,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANAPC13,gene,ANAPC13,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANAPC4,gene,ANAPC4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANAPC5,gene,ANAPC5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANKIB1,gene,ANKIB1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANKLE2,gene,ANKLE2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANKRD32,gene,ANKRD32,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANKRD52,gene,ANKRD52,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANLN,gene,ANLN,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANO2,gene,ANO2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ANO8,gene,ANO8,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AP4M1,gene,AP4M1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AP4S1,gene,AP4S1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,APH1A,gene,APH1A,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,AQR,gene,AQR,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARCN1,gene,ARCN1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARF4,gene,ARF4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARFGEF1,gene,ARFGEF1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARGLU1,gene,ARGLU1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARHGAP4,gene,ARHGAP4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARHGEF10L,gene,ARHGEF10L,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARIH1,gene,ARIH1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARL2,gene,ARL2,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARL6IP1,gene,ARL6IP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARMC7,gene,ARMC7,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ARPC3,gene,ARPC3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ASAP1,gene,ASAP1,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ASCC3,gene,ASCC3,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATF4,gene,ATF4,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATF5,gene,ATF5,NCBI
A549_CRISPRi,sensitivity_hit,gamma,Drug,gamma,AstraZeneca,ATP1A1,gene,ATP1A1,NCBI
