,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AANAT,AANAT,-0.381647158625164,0.08294149213650395,sensitivity_hit,1.081228155844188,0.01448853675033964,0.7163040843081987,target_non_hit,0.14490257252215988
AARS2,AARS2,0.28436148262571,0.06131743008024151,resistance_hit,1.2124160554706078,-0.17172349683436158,0.1876276327704372,target_non_hit,0.7267032007332118
ABCA7,ABCA7,-0.2646974082737404,0.024314539602996656,sensitivity_hit,1.6141339494053262,0.1938048699609718,0.3812546090302395,target_non_hit,0.4187848973781397
ABCC5,ABCC5,0.2024356873149055,0.02520892608927188,resistance_hit,1.5984456550549073,-0.2410296734649758,0.11225188335754363,target_non_hit,0.9498063636883185
ABHD1,ABHD1,0.3821156641123175,0.13519770167778988,resistance_hit,0.8690306912134477,-0.27998667984135156,0.2831968513336438,target_non_hit,0.5479115795699299
ABI2,ABI2,0.17809001800412924,0.03486188398143294,resistance_hit,1.4576491467546668,-0.12339977502902204,0.4733365056581968,target_non_hit,0.32482999966357873
ACADVL,ACADVL,-0.30249209438307795,0.05293683986860248,sensitivity_hit,1.2762419880175118,-0.042617881633464805,0.9753328792571845,target_non_hit,0.010847135120539631
ACAT1,ACAT1,0.32497295822126987,0.039409043439800874,resistance_hit,1.4044041064654758,-0.1414979553726289,0.027902852086961947,target_non_hit,1.5543514030947425
ACBD7,ACBD7,-0.21125008901661543,0.04112172207096877,sensitivity_hit,1.3859287065064771,0.02191984998789387,0.639260849481037,target_non_hit,0.19432189242988515
ACPT,ACPT,-0.3082635273035086,0.0678535955407981,sensitivity_hit,1.1684271342657766,0.2577416967447161,0.1154167599999259,target_non_hit,0.9377311214491525
ACSL1,ACSL1,-0.18139877046989591,0.00775641823273657,sensitivity_hit,2.1103387814302885,-0.1947730690110608,0.32556230837513145,target_non_hit,0.48736588084740884
ACSS2,ACSS2,-0.3588891130388833,0.05646432879597018,sensitivity_hit,1.2482258300477966,0.2915006380988648,0.10193658460983147,up_hit,0.9916699215610466
ACTA2,ACTA2,-0.24626219529801543,0.01053690624663228,sensitivity_hit,1.9772868841182212,0.14004030632725714,0.06912290807706636,target_non_hit,1.1603779988964171
ACVR2B,ACVR2B,0.34591348486650936,0.04381252852598294,resistance_hit,1.3584016819235498,-0.19470376322021052,0.3507041134605116,target_non_hit,0.4550591401842947
