,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AARS2,AARS2,0.20162911575552891,0.017279777017207423,resistance_hit,1.7624618660713152,-0.17172349683436158,0.1876276327704372,target_non_hit,0.7267032007332118
ABCA1,ABCA1,-0.3118243361762631,0.011112723748623337,sensitivity_hit,1.9541794816515,0.376310565464619,0.05745334871526465,up_hit,1.2406846530300613
ABCA12,ABCA12,0.26424828817978313,0.019409198489969526,resistance_hit,1.7119923985926062,-0.16662654060563456,0.16644022196368366,target_non_hit,0.7787417137061828
ABCC8,ABCC8,0.22602640417303613,0.017145769499178606,resistance_hit,1.7658430190501855,-0.17601421987377672,0.15754797339043075,target_non_hit,0.8025871789768982
ABHD1,ABHD1,0.31985497469426843,0.14166379723479436,resistance_hit,0.8487411213120502,-0.27998667984135156,0.2831968513336438,target_non_hit,0.5479115795699299
ABLIM3,ABLIM3,-0.2074260462428894,0.02142730493663896,sensitivity_hit,1.669032449805159,0.11685069421139864,0.17675697092839318,target_non_hit,0.7526234495195426
ACAT1,ACAT1,0.32511907110446625,0.05811395168041148,resistance_hit,1.2357195920427948,-0.1414979553726289,0.027902852086961947,target_non_hit,1.5543514030947425
ACIN1,ACIN1,0.2045541452117119,0.0018878951316428601,resistance_hit,2.724022133456242,0.06949062459539235,0.5806673985417368,target_non_hit,0.23607255666150126
ACOT9,ACOT9,-0.24856447168867776,0.07844815817056935,sensitivity_hit,1.1054172484536968,0.020694970633174197,0.36765571874100356,target_non_hit,0.4345586743587842
ACP6,ACP6,0.2628084000188151,0.007200632016793587,resistance_hit,2.1426293828243392,-0.10417576034718727,0.299170829380245,target_non_hit,0.5240807545803048
ACSL5,ACSL5,-0.24172248181832678,0.06674199595412213,sensitivity_hit,1.1756008096845267,0.23874672170345837,0.03874315707816293,up_hit,1.4118049926576968
ACTN4,ACTN4,-0.26745465930426643,0.08926569210398311,sensitivity_hit,1.049315423449641,0.0024976851600551817,0.7145513336252507,target_non_hit,0.145966565880202
ADAM32,ADAM32,0.19508096951809595,0.01261766638188044,resistance_hit,1.899020959765971,-0.04606404366448332,0.6253016135228122,target_non_hit,0.20391045066820454
ADCY6,ADCY6,0.3716642409386033,0.0885803997806407,resistance_hit,1.0526623639910384,-0.4379465060551337,0.2837557164313978,target_non_hit,0.5470553805843532
ADH7,ADH7,-0.17735841661012022,0.0013428431890990032,sensitivity_hit,2.87197469923387,0.249960246410368,0.15388937493221747,target_non_hit,0.812791364363464
