target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AADACL2,0.4272481681262389,0.01788575226559907,resistance_hit,1.7474927889269218,-0.3264950432167377,0.020320158999567,essential_hit,1.6920728981418383
AAMDC,0.4921020192878931,0.10617333833453195,resistance_hit,0.9739845272083978,-0.018382985563540455,0.8449772174657066,target_non_hit,0.07315500047316345
ABCA8,0.3201154239233282,0.06336668590764212,resistance_hit,1.1981390059828643,-0.3499634617772445,0.2515311757834094,target_non_hit,0.5994081790708734
ABCB6,0.29331570434997056,0.08745646581703104,resistance_hit,1.0582080768102082,-0.045133346892685555,0.8580627664258509,target_non_hit,0.06648094278604604
ABCB7,-0.3293564286573414,0.11762534847367741,sensitivity_hit,0.9294990769336898,-4.1864503166975595,1.4272116084650826e-08,essential_hit,7.845511630546549
ABCB9,-0.10828335316153954,0.00266453100724281,sensitivity_hit,2.574379221493215,0.20002570392096652,0.014759028283756699,target_non_hit,1.830942234985503
ABCC1,-0.6370472252432535,0.006464888401009864,sensitivity_hit,2.1894389676503967,0.15108152682798986,0.14233707004264728,target_non_hit,0.8466819782126694
ABCF2,0.3378232634257943,0.029178156584804698,resistance_hit,1.5349421493972037,-0.25334505454081324,0.08914957600328667,target_non_hit,1.0498807179947491
ABHD14B,-0.20207290384262322,0.003887860106974178,sensitivity_hit,2.4102893702535297,0.09318050126307102,0.003997779969529377,target_non_hit,2.3981811123311743
ABHD17C,0.25810657351261596,0.07126037239069419,resistance_hit,1.147151912453695,0.021118342530954532,0.9232575993774245,target_non_hit,0.03467710896363562
ABHD6,0.22015738878475055,0.004232091438610085,resistance_hit,2.373444957500567,-0.15993657181410162,0.25839812237976134,target_non_hit,0.5877106464163939
ABRACL,0.2654637350214727,0.008838540763870287,resistance_hit,2.0536194307460773,-0.19183170271913466,0.43280458010149014,target_non_hit,0.3637081520089756
ACADVL,-0.21129434804157254,0.0035247440077655775,sensitivity_hit,2.452872419112844,0.1573103603891329,0.008585670183622938,target_non_hit,2.066225798850265
ACAN,0.4448703475124584,0.17885116841066043,resistance_hit,0.7475082183182271,-0.3499028407449182,0.15556053587078317,target_non_hit,0.8081005694759581
ACHE,-0.2265753037284896,0.027498636767526143,sensitivity_hit,1.5606888355884962,0.10075872987732959,0.08206701650056669,target_non_hit,1.0858313548171934
ACLY,-0.3797288743211064,0.03040282651311378,sensitivity_hit,1.5170860386943652,-0.3053310869231032,0.25043998793639993,target_non_hit,0.6012963258067225
ACOT13,-0.2511662971212444,0.023211327039200987,sensitivity_hit,1.6343000293274912,0.02398656629447545,0.21134135566883594,target_non_hit,0.6750155110812387
ACOX3,0.26760049253215695,0.004276601169594753,resistance_hit,2.3689012496077266,-0.2341769225748016,0.07978567105032697,target_non_hit,1.0980750979041984
ACSBG2,-0.2358493776826188,0.029366493771033873,sensitivity_hit,1.532147903214776,0.30584308594478615,0.010585440614354765,up_hit,1.9752910599496893
ACSL6,0.2657908679616951,0.10168331268810195,resistance_hit,0.9927503135680564,-0.6880283842293198,0.12707687933290981,essential_hit,0.895933458820796
ACSM2B,-0.3632503891149583,0.0061606380382554565,sensitivity_hit,2.2103743069680295,-0.0704930693042991,0.8354856452437042,target_non_hit,0.07806100746419117
ACSS1,-0.4769308791834037,0.056771831240256816,sensitivity_hit,1.24586709688412,-0.014324915368456665,0.4184132427186287,target_non_hit,0.3783945785657059
ACTR2,0.26390763832049585,0.034729819156454476,resistance_hit,1.4592974781219585,-0.6744902103295342,0.05114965824188806,essential_hit,1.2911572636948907
ACTR5,-0.4812303915772035,0.0015568123859067966,sensitivity_hit,2.8077637218408973,-1.5166286998258325,5.3410107011242665e-06,essential_hit,5.272376551887713
ADCY5,-0.4032926264671712,0.014550287648401097,sensitivity_hit,1.8371284209132295,-0.07982331308340221,0.9914330096847201,target_non_hit,0.003736625389245993
ADH1A,0.1606405271705335,0.018886300411943963,resistance_hit,1.723853106558577,-0.2368020965561867,0.18006623911078087,target_non_hit,0.7445677060717606
ADH4,-0.3089397139289418,0.09073941834563082,sensitivity_hit,1.0422040089590536,0.08726148376930487,0.29428936652333426,target_non_hit,0.5312254298598519
ADORA2A,0.3239807546982688,0.007412801154962281,resistance_hit,2.1300176494750303,-0.8065693778367289,0.06478289367368707,essential_hit,1.1885396571525246
ADORA3,0.4368008253199613,0.00887466852007067,resistance_hit,2.0518478594100715,-0.23570942590867078,0.4053077460237652,target_non_hit,0.3922150961763141
ADSL,-0.4415408685266554,0.029843395719703954,sensitivity_hit,1.5251517623513517,-1.0954991660701285,0.00032982047548084885,essential_hit,3.4817223865559073
ADSS,-0.7150823187365698,0.00552161806245275,sensitivity_hit,2.2579336373754786,-0.5475312306628719,0.07038323661751307,essential_hit,1.15253076573604
AEBP2,-0.43606239790622203,0.014794852516910213,sensitivity_hit,1.829889359763998,-0.43249923657784395,0.06998501800343934,essential_hit,1.1549949213404915
AES,-0.20382111058219748,0.03844465787952827,sensitivity_hit,1.4151639995459802,-0.1745165557069172,0.3721959584414961,target_non_hit,0.42922834704642915
AFG3L2,0.48424049485079623,0.1520043220306925,resistance_hit,0.8181440633223677,-3.3513273304378814,2.8703148447345507e-05,essential_hit,4.542070462906652
AGFG2,-0.368166131443845,0.1539729079943971,sensitivity_hit,0.8125556878882134,-0.012508925993949649,0.8370937985369514,target_non_hit,0.07722587545402136
AGK,-0.26686813721405783,0.04212314637093481,sensitivity_hit,1.375479196828895,-0.39604733368246875,0.11769375061391547,target_non_hit,0.9292465970201799
AGMAT,0.4106538776244795,0.03424547942628868,resistance_hit,1.4653967494209637,-0.19691588316942443,0.43113610995545404,target_non_hit,0.36538560113674845
AGO2,0.29426664816242976,0.043221364057634756,resistance_hit,1.3643015309892046,-0.33403041630253333,0.04421747311208755,essential_hit,1.3544060795961337
AHCYL2,0.42607415405115967,0.04158482439332461,resistance_hit,1.3810651281392603,-0.15955700257806854,0.24413836944507902,target_non_hit,0.6123639603257376
AHR,0.23779838313482227,0.07663688763196978,resistance_hit,1.1155621410864538,0.12195872504295421,0.777881083765966,target_non_hit,0.10908678940049102
AIDA,-0.2326149127832397,0.04651786623177385,sensitivity_hit,1.332380214515803,-0.44831927015414597,0.7003532192350377,target_non_hit,0.15468287073622364
AIFM1,0.41399577664152537,0.08850420236667379,resistance_hit,1.053036107592257,-2.163098879571442,0.0017341991755189705,essential_hit,2.7609010245868846
AK9,-0.29975073647663475,0.03572787180518643,sensitivity_hit,1.4469928525574565,0.014229071880912901,0.703216093264409,target_non_hit,0.15291119888998259
AKR1B10,0.36888151793699253,0.06894852435875108,resistance_hit,1.1614750241902274,-0.25418761469701145,0.19312657993515653,target_non_hit,0.7141579503284956
AKR1C3,-0.25583798133210767,0.00371835247592152,sensitivity_hit,2.4296494442865333,0.08241757212486434,0.07424172512367898,target_non_hit,1.1293519451540952
AKT1S1,-0.45454872998806656,0.046431682977867046,sensitivity_hit,1.3331855744696368,0.07813431534239254,0.6463079619345002,target_non_hit,0.18956049392581864
AKTIP,0.271390251351762,0.07323882920149714,resistance_hit,1.1352586069617312,-1.1489575611945373,0.17472009414389952,essential_hit,0.7576571449657125
ALDH18A1,0.3411548395493769,0.042588032053523746,resistance_hit,1.370712427736574,-0.33405434779021004,0.17297750986791233,target_non_hit,0.7620103591555909
ALDH1A2,-0.23069242265205503,0.008667758500979818,sensitivity_hit,2.062093197392936,0.20625048743614222,0.0001529782521553487,up_hit,3.8153703053932246
ALDH3A2,-0.1908548295548691,0.01935668412734902,sensitivity_hit,1.713169036931151,-0.05273637763836092,0.5751279208409599,target_non_hit,0.24023554811638406
ALDOA,-0.40394563219390217,0.0187709997748093,sensitivity_hit,1.726512595512932,-2.1118071782018095,0.0005009268177719768,essential_hit,3.300225717165312
ALG9,0.4179377514811873,0.0027900813556702183,resistance_hit,2.5543831329975433,-0.8427468977294286,0.000892079779735707,essential_hit,3.049596304424731
ALLC,-0.23931981152799522,0.01744027448161571,sensitivity_hit,1.7584466842593558,0.1254773480525972,0.010810618287081566,target_non_hit,1.966149466917275
ALOX12,-0.5222241657112794,0.04030312699289769,sensitivity_hit,1.3946612570083647,-0.2612286460934559,0.4131778958698059,target_non_hit,0.3838629203531617
ALS2CL,-0.30736879622651203,0.021770707935033527,sensitivity_hit,1.6621274484380182,-0.12628656344858977,0.6555788950413954,target_non_hit,0.18337503605730013
AMDHD2,-0.3911361887026848,0.21541259197220922,sensitivity_hit,0.6667289135533155,-0.11097585106533432,0.9986331506461376,target_non_hit,0.0005940211932638595
AMIGO2,0.3450811054581918,0.07812389923997548,resistance_hit,1.107216088782235,-0.7840979637018852,0.0592039832081531,essential_hit,1.2276490732242586
AMOTL1,0.2274815974522566,0.04172534430868771,resistance_hit,1.379600070928016,-0.39129022573253963,0.010000921938655797,essential_hit,1.9999599625584883
AMY1B,0.22811840205423137,0.03004748417965279,resistance_hit,1.5221918848137859,-0.09004551823319051,0.6762337630030788,target_non_hit,0.16990314957161895
ANAPC10,0.6083183621767771,0.06748965302006349,resistance_hit,1.1707628046613836,-2.7129808746058486,0.009577778202250725,essential_hit,2.0187352243673233
