target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AADACL2,0.21635736510149237,0.001580072568460486,resistance_hit,2.801322966616328,-0.3264950432167377,0.020320158999567,essential_hit,1.6920728981418383
AAGAB,0.4201960362269799,0.10553075803029391,resistance_hit,0.9766209423002045,-0.0013702014874161783,0.5250095071237906,target_non_hit,0.27983283211020155
AAMDC,0.36793364765052594,0.10061154833088314,resistance_hit,0.9973521675054309,-0.018382985563540455,0.8449772174657066,target_non_hit,0.07315500047316345
AARS,-0.7301706915462498,0.1389845009204773,sensitivity_hit,0.8570336280913413,-3.50817682840732,0.0003098607487013994,essential_hit,3.5088334340931664
AARS2,-0.6514587623119107,0.3040869443688945,sensitivity_hit,0.5170022254009597,-2.412572944393647,0.007187625266361308,essential_hit,2.1434145733262553
AARSD1,0.30986285968449173,0.018842314728393792,resistance_hit,1.7248657463404666,-0.1340089535329875,0.38498056565138916,target_non_hit,0.41456119372109596
AASDHPPT,-1.0892647152598471,0.03668337920845694,sensitivity_hit,1.4355306647144235,-1.6013758357333208,0.03249382301742554,essential_hit,1.4881991893106896
AATF,-0.6233999840189636,0.11514501455768902,sensitivity_hit,0.9387548609733685,-2.837482933547157,0.0011064079090024634,essential_hit,2.956084728394181
ABAT,0.3444343026384441,0.01786099932805349,resistance_hit,1.7480942458664126,-0.1869522625252908,0.27908184673945224,target_non_hit,0.5542684118714089
ABCA7,0.20363134186693,0.014342315271079953,resistance_hit,1.8433807351193776,-0.5666178830681614,0.15145548809973283,essential_hit,0.8197149850696759
ABCA8,0.3332701467456222,0.006258585993621271,resistance_hit,2.2035237761400324,-0.3499634617772445,0.2515311757834094,target_non_hit,0.5994081790708734
ABCB1,0.3077569832387872,0.002340975551994962,resistance_hit,2.6306031218390973,-0.24291374110869385,0.010075455680106546,essential_hit,1.9967353030150865
ABHD13,-0.35268433076127803,0.07552574622407968,sensitivity_hit,1.1219049750331787,-0.14277039491892535,0.4473677474653619,target_non_hit,0.34933532914131693
ABHD17A,0.2634235411044963,0.045663510788521745,resistance_hit,1.3404307013112333,-0.13616038483416554,0.49155833665054705,target_non_hit,0.30842493402307963
ABL2,0.24839951980644193,0.022612709614884832,resistance_hit,1.6456473942983711,-0.26603913684157005,0.06694192303443576,target_non_hit,1.1743018158615997
ABO,0.24924982080046817,0.016159394548962872,resistance_hit,1.7915749151561322,0.07379727878671301,0.13212657666959543,target_non_hit,0.8790098172071696
ABT1,-0.7442528467129238,0.0022964467829763215,sensitivity_hit,2.6389436143120353,-2.8542375272855374,0.0006816278409569015,essential_hit,3.166452679205237
ACACA,-0.48694933288044134,0.17921510253101927,sensitivity_hit,0.7466253949556227,-1.1214133796825014,0.06118559563138599,essential_hit,1.2133508078235946
ACAD11,-0.44597261901775553,0.07270597022656089,sensitivity_hit,1.1384299257297759,-0.7028741868936887,0.002120779618168784,essential_hit,2.6735044590581407
ACAD9,-0.43841808545341576,0.1518046203215633,sensitivity_hit,0.8187150100635744,-1.3665191747929568,0.014369377012783133,essential_hit,1.8425620603818207
ACAP2,-0.7239400315311258,0.037998162161155286,sensitivity_hit,1.4202374081876836,-1.4748393654633065,0.0460606862075123,essential_hit,1.3366695962476862
ACD,-0.5855429864281001,0.009102749428135989,sensitivity_hit,2.040827411951399,-1.48405505511664,0.00201150899554834,essential_hit,2.6964780209061576
ACLY,-0.5549102871597783,0.003749539441936342,sensitivity_hit,2.426022073634759,-0.3053310869231032,0.25043998793639993,target_non_hit,0.6012963258067225
ACOT9,0.28281523245913825,0.0361259940925786,resistance_hit,1.4421801934262246,-0.06673165077048582,0.9878457242420582,target_non_hit,0.005310875596589382
ACOX1,0.6348636791879484,0.00026467393518954483,resistance_hit,3.577288825456171,-0.4426653421378398,0.008107264551859618,essential_hit,2.0911256550895176
ACP1,0.25595646505654657,0.03558702442022031,resistance_hit,1.4487083236540257,-1.4063504276765495,0.13896676608063982,essential_hit,0.8570890489078924
ACP5,0.231248036796035,0.010080143692461751,resistance_hit,1.9965332769779502,0.1552418708227196,0.09457849874840975,target_non_hit,1.024207583854702
ACTB,-0.6004159501956892,0.00309222766811009,sensitivity_hit,2.509728538245321,-0.8446716169666897,0.007640101365144265,essential_hit,2.116900879378397
ACTG1,-0.8131313999224505,0.00329249838274034,sensitivity_hit,2.482474429689525,-0.8563507813031327,1.7539722462782715e-06,essential_hit,5.755977282910434
ACTL6A,-0.7871297582164345,0.07125703305243705,sensitivity_hit,1.1471722644405142,-2.3754768833135333,0.0012077438039839123,essential_hit,2.9180251818708354
ACTR3,-0.34637104871215607,0.003691195728749273,sensitivity_hit,2.43283292536462,-1.3820648565947873,0.014252741565712655,essential_hit,1.8461015895262884
ACTR3C,0.28012120938201546,0.03721783657484228,resistance_hit,1.429248875453379,-0.03398236280789435,0.8811136100314814,target_non_hit,0.054968090420321705
ACTR5,-0.7644056975393794,0.03425879807551093,sensitivity_hit,1.4652278777490784,-1.5166286998258325,5.3410107011242665e-06,essential_hit,5.272376551887713
ACTR8,-1.081690633246271,0.09600039258953579,sensitivity_hit,1.0177269909279272,-2.4493688663239657,0.00017834235930748915,essential_hit,3.748745492334471
ACTRT2,-0.33210543106890134,0.03531686808096508,sensitivity_hit,1.4520178168573055,0.10877824056513703,0.11217037741655912,target_non_hit,0.9501218188650565
ADAR,-0.6334494772590328,9.540169484293955e-05,sensitivity_hit,4.020443909840998,-0.4685704373099272,0.0007455350612740168,essential_hit,3.127531927583515
ADAT3,-0.679541952033747,0.036500609491946334,sensitivity_hit,1.4376998835769759,-3.18787068884145,0.00023703269518109843,essential_hit,3.6251917453089013
ADCY5,-0.48131685936221913,0.021014243841625032,sensitivity_hit,1.6774862326544029,-0.07982331308340221,0.9914330096847201,target_non_hit,0.003736625389245993
ADD3,-0.5876755867453911,0.01215107482774363,sensitivity_hit,1.9153853046901688,-0.6404412987140489,0.2090554668134826,target_non_hit,0.679738471137312
ADH1A,0.2845464084082413,0.046969660147957726,resistance_hit,1.3281825821714581,-0.2368020965561867,0.18006623911078087,target_non_hit,0.7445677060717606
ADHFE1,-0.27127159674614915,0.020175956613650348,sensitivity_hit,1.6951658646762524,0.014734102262020737,0.6346080292843892,target_non_hit,0.19749443735403718
ADIPOQ,0.16162036863947402,0.002275202047078946,resistance_hit,2.6429800302002002,-0.1563077882270103,0.5544245619305308,target_non_hit,0.2561575380019395
ADNP,0.31349656627855343,0.012293570147341842,resistance_hit,1.9103219763380808,-0.7393480787335733,0.11891214262085872,essential_hit,0.924773795474014
ADORA2B,-0.47702679556445304,0.11022562612730781,sensitivity_hit,0.957717425521713,-0.17355508927175523,0.5632204385449509,target_non_hit,0.24932159359209347
ADRB2,0.27055087476510675,0.03078898036179337,resistance_hit,1.511604693382579,-0.07190067782932126,0.5120477782751718,target_non_hit,0.2906895138812663
ADRM1,-0.44976052272129846,0.13739607123028588,sensitivity_hit,0.8620256855253902,-0.4412162232696635,0.008069389788750658,essential_hit,2.093159305599897
AEBP2,-0.37662938664744283,0.025524638464331843,sensitivity_hit,1.5930404006243104,-0.43249923657784395,0.06998501800343934,essential_hit,1.1549949213404915
AFAP1,0.3503522793242847,0.029122282606123227,resistance_hit,1.5357745879993618,0.05889837089327858,0.5524277925687242,target_non_hit,0.25772448024618383
AFG3L2,-0.8693585223817003,0.04854798038627835,sensitivity_hit,1.3138288321893157,-3.3513273304378814,2.8703148447345507e-05,essential_hit,4.542070462906652
AGAP10,0.356116852752612,0.023507766486781087,resistance_hit,1.628788631978658,-0.13466912924549934,0.5471087020266099,target_non_hit,0.26192637750532627
AGGF1,-0.47725891332054193,0.008996582810305246,sensitivity_hit,2.045922418165157,-0.5998168792093586,0.06484299055819619,essential_hit,1.188136963703658
AGPAT5,-0.5747350401944186,0.02244665477268064,sensitivity_hit,1.6488483727905745,-0.1799657426426271,0.07622387233609752,target_non_hit,1.1179089919128329
AGRP,-0.5890799939881972,0.14356041456346189,sensitivity_hit,0.8429652962125513,0.2744489344908609,0.08124883464859596,target_non_hit,1.090182859386796
AGT,-0.41073681573072224,0.07093038535186608,sensitivity_hit,1.1491676807022315,-0.026394356835899448,0.6797330299549524,target_non_hit,0.16766162609267968
AGTR2,0.957683406171397,0.00799668662755143,resistance_hit,2.097089922688728,-0.3458937370350975,0.05475811674056348,target_non_hit,1.2615514966820518
AHCY,-0.40093501371229257,0.060541426204675716,sensitivity_hit,1.2179473523664792,-0.6511163879074998,0.009768754924807492,essential_hit,2.0101607856920234
AHCYL1,0.22827338083814047,0.011549065160057253,resistance_hit,1.937453168348446,-0.1308695789608172,0.5397209309743947,target_non_hit,0.267830739188049
AHI1,0.21408853776150744,0.008507258764003066,resistance_hit,2.0702103571246253,-0.057482452029548714,0.8614897996612255,target_non_hit,0.06474986038318344
AHNAK2,0.3496093193390588,0.015058299524744242,resistance_hit,1.8222240685547726,-0.5069474628453178,0.04458282609639498,essential_hit,1.3508324051431777
AHR,-0.5678887132520746,0.00023917099210742212,sensitivity_hit,3.6212914949663215,0.12195872504295421,0.777881083765966,target_non_hit,0.10908678940049102
AIF1L,-0.5883870270200292,0.12254472893477272,sensitivity_hit,0.9117053644916607,-0.29599587228410806,0.3424432757211612,target_non_hit,0.4654113572562918
AIFM3,0.31817764653529795,0.059508623264641736,resistance_hit,1.2254200970463365,0.05018086282107559,0.46709330382571634,target_non_hit,0.3305963586432519
AIMP2,0.39309661499186765,0.0032755190154549634,resistance_hit,2.484719875003774,-0.42510852627045903,0.0006393139408068786,essential_hit,3.194285825286941
AJUBA,-0.3792602028414279,0.0013607287855550907,sensitivity_hit,2.8662284278271155,-0.10256986714884819,0.8061914066613052,target_non_hit,0.09356183538101584
