target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
A1BG,0.3285535539072404,0.03371250817892968,resistance_hit,1.472208935175653,-0.1920185927676954,0.46194020067330366,target_non_hit,0.3354142413237615
AAMDC,0.7359155783743865,0.022156774217478387,resistance_hit,1.6544934678391268,-0.018382985563540455,0.8449772174657066,target_non_hit,0.07315500047316345
AASDHPPT,-0.5817516213536498,0.25613225032995984,sensitivity_hit,0.5915357348524297,-1.6013758357333208,0.03249382301742554,essential_hit,1.4881991893106896
ABCB1,0.2996111782076077,0.00795980246033164,resistance_hit,2.099097710082991,-0.24291374110869385,0.010075455680106546,essential_hit,1.9967353030150865
ABCB4,-0.6618093851629178,0.11558473912931035,sensitivity_hit,0.9370995028484045,0.06886844407923635,0.23149071235896812,target_non_hit,0.6354664286294598
ABCB5,0.39785529830458843,0.10097874038675148,resistance_hit,0.9957700510152114,-0.4157561553778438,0.22972717345419527,target_non_hit,0.6387876309119745
ABCB7,-0.4704220446636156,0.03292300646673062,sensitivity_hit,1.4825005126975364,-4.1864503166975595,1.4272116084650826e-08,essential_hit,7.845511630546549
ABCC1,-0.8210189963288992,0.003568582254441853,sensitivity_hit,2.447504288471713,0.15108152682798986,0.14233707004264728,target_non_hit,0.8466819782126694
ABCE1,0.5317773768528575,0.05840828839531035,resistance_hit,1.2335255202003552,-2.564010097803263,0.0015797888424317003,essential_hit,2.801400957789346
ABCF2,0.8961773304935914,0.0003322053488450191,resistance_hit,3.478593379244121,-0.25334505454081324,0.08914957600328667,target_non_hit,1.0498807179947491
ABCG5,-0.23794614606147074,0.01585594615132563,sensitivity_hit,1.7998078377718831,-0.06572718344768876,0.9049603099398742,target_non_hit,0.04337046781368118
ABL1,-0.33585539172442846,0.06791062997574131,sensitivity_hit,1.1680622407640133,0.23606589449378287,0.032571612604085254,target_non_hit,1.4871607392024413
ABLIM3,-0.5318202516265624,0.1677342470340194,sensitivity_hit,0.7753782565386983,-0.4321763963365286,0.32452636742010926,target_non_hit,0.488750011468102
ABRACL,0.27019892231254455,0.04553277102206114,resistance_hit,1.3416759187019063,-0.19183170271913466,0.43280458010149014,target_non_hit,0.3637081520089756
ACACA,-0.7524062330974325,0.21074175754272698,sensitivity_hit,0.6762494023436146,-1.1214133796825014,0.06118559563138599,essential_hit,1.2133508078235946
ACAD10,0.18617570755352952,0.005003972481874478,resistance_hit,2.300685087268571,-0.30222866272697757,0.2081432396241915,target_non_hit,0.6816376901895911
ACAT2,-0.27657809962311514,0.04496513766690312,sensitivity_hit,1.347124072596683,0.11933178663863024,0.01911772014811823,target_non_hit,1.7185639000372954
ACBD4,0.3251092687005337,0.033717441608557906,resistance_hit,1.4721453859286207,-0.30460735033831304,0.21158446728696673,target_non_hit,0.6745162176347799
ACD,-0.650533677656189,0.017516150834424267,sensitivity_hit,1.7565613236833777,-1.48405505511664,0.00201150899554834,essential_hit,2.6964780209061576
ACIN1,0.5164651818990592,0.005906262464671422,resistance_hit,2.228687257603626,-0.5784602996375756,0.0012450955694322963,essential_hit,2.904797312275763
ACLY,-0.6046175676073748,0.023094008952462206,sensitivity_hit,1.6365006701661673,-0.3053310869231032,0.25043998793639993,target_non_hit,0.6012963258067225
ACMSD,0.26700417888924094,0.034128380946607154,resistance_hit,1.4668843142010801,-0.07155377555767901,0.7206975688688981,target_non_hit,0.1422469429448635
ACOT11,-0.7668797579805974,0.10440229780985814,sensitivity_hit,0.9812899427594272,-1.3455271082866487,0.12477667709439955,essential_hit,0.9038665841711285
ACOX1,0.3857720665416061,0.010667840457203598,resistance_hit,1.9719234880209902,-0.4426653421378398,0.008107264551859618,essential_hit,2.0911256550895176
ACPL2,0.32360010923724725,0.013230819954045932,resistance_hit,1.8784132404320766,-0.25806885292748144,0.23238925545867942,target_non_hit,0.6337839554679279
ACSL3,0.31405618251746636,0.027316601197304516,resistance_hit,1.563573337680141,-0.2265517539930686,0.19888362551687944,target_non_hit,0.7014009717292644
ACSS1,-0.6122274962107724,0.221260035846085,sensitivity_hit,0.6550970215850368,-0.014324915368456665,0.4184132427186287,target_non_hit,0.3783945785657059
ACTB,-0.43638082363725417,0.014289030030718911,sensitivity_hit,1.8449972510273511,-0.8446716169666897,0.007640101365144265,essential_hit,2.116900879378397
ACTG1,-0.8118227368326432,0.0018333097159264657,sensitivity_hit,2.736764159939353,-0.8563507813031327,1.7539722462782715e-06,essential_hit,5.755977282910434
ACTR5,-0.5710501802388994,0.01470828165445681,sensitivity_hit,1.8324380622540044,-1.5166286998258325,5.3410107011242665e-06,essential_hit,5.272376551887713
ACTR8,-0.6143164960489569,0.20511602949212887,sensitivity_hit,0.6880003988809934,-2.4493688663239657,0.00017834235930748915,essential_hit,3.748745492334471
ACTRT2,-0.270644002784187,0.010809275764454177,sensitivity_hit,1.9662034033674967,0.10877824056513703,0.11217037741655912,target_non_hit,0.9501218188650565
ADAM29,0.3054657343276445,0.023111735743691596,resistance_hit,1.6361674367969785,-0.25072625504957247,0.1129096364799298,target_non_hit,0.9472689908344462
ADAT1,-0.2791989403618225,0.03154738830721264,sensitivity_hit,1.5010365885819585,-0.02904649939906786,0.808559551205024,target_non_hit,0.09228798836450597
ADCY5,-0.3676622188383744,0.025261692404191568,sensitivity_hit,1.5975375572969066,-0.07982331308340221,0.9914330096847201,target_non_hit,0.003736625389245993
ADCY7,-0.28260689251427884,0.016445428698711288,sensitivity_hit,1.7839548008643302,0.0927495091154104,0.01152652512225703,target_non_hit,1.9383015988355599
ADCYAP1,0.30134589710478477,0.07506028192778245,resistance_hit,1.1245898087019095,-0.05040948174087104,0.9867538875216788,target_non_hit,0.005791153935854589
ADD2,-0.5735740938458009,0.11238029999819965,sensitivity_hit,0.9493098128943599,-0.19859534831803524,0.3113974074371009,target_non_hit,0.506685007504726
