target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AARS2,0.8754157226681012,0.29762561535593884,resistance_hit,0.5263296936604367,-2.412572944393647,0.007187625266361308,essential_hit,2.1434145733262553
ABCB4,-0.2924169098467139,0.115834081591042,sensitivity_hit,0.9361636403563126,0.06886844407923635,0.23149071235896812,target_non_hit,0.6354664286294598
ABCC1,-0.3834986281787721,0.01798590246638943,sensitivity_hit,1.7450677660000484,0.15108152682798986,0.14233707004264728,target_non_hit,0.8466819782126694
ABCF2,0.25811835984234727,0.07208210995354292,resistance_hit,1.1421725093795863,-0.25334505454081324,0.08914957600328667,target_non_hit,1.0498807179947491
ABCF3,0.21774434345484012,0.05913445759879173,resistance_hit,1.2281593823303247,0.10678094574872801,0.17213329184137985,target_non_hit,0.7641351258099929
ABHD14B,-0.14243142894997116,0.007327769375527976,sensitivity_hit,2.135028207532306,0.09318050126307102,0.003997779969529377,target_non_hit,2.3981811123311743
ABHD17C,0.2841909931153901,0.07111823414994112,resistance_hit,1.1480190353401112,0.021118342530954532,0.9232575993774245,target_non_hit,0.03467710896363562
ABLIM3,0.21405019639292533,0.057404762089769266,resistance_hit,1.2410520786207777,-0.4321763963365286,0.32452636742010926,target_non_hit,0.488750011468102
ACAA2,-0.24084401972804353,0.07971966630588076,sensitivity_hit,1.0984345278568728,-0.1286952058201652,0.9195424272613466,target_non_hit,0.03642822781753316
ACACB,0.3306340641731613,0.006981332771914393,resistance_hit,2.1560616604377083,-0.23898366738957946,0.1690855578570476,target_non_hit,0.7718934853108652
ACAD9,0.49304483638322577,0.27502962843466117,resistance_hit,0.5606205179058765,-1.3665191747929568,0.014369377012783133,essential_hit,1.8425620603818207
ACAP2,0.4909860889526422,0.055572909137793614,resistance_hit,1.2551368681161614,-1.4748393654633065,0.0460606862075123,essential_hit,1.3366695962476862
ACBD4,0.3244635793575326,0.0758737992691172,resistance_hit,1.1199081687328027,-0.30460735033831304,0.21158446728696673,target_non_hit,0.6745162176347799
ACIN1,-0.26362037036070046,0.061692360929785146,sensitivity_hit,1.209768609247704,-0.5784602996375756,0.0012450955694322963,essential_hit,2.904797312275763
ACO1,0.22342945256421753,0.018489525649223664,resistance_hit,1.7330742305697184,-0.25156393979126584,0.2954561185353479,target_non_hit,0.5295070118829115
