,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
A4GNT,A4GNT,-0.35029548453565607,0.12143598445547187,sensitivity_hit,0.9156526021012915,0.10234036580789023,0.8622196396794066,target_non_hit,0.06438208898937924
AARSD1,AARSD1,0.19818258280867904,0.040169103395950236,resistance_hit,1.396107861933675,-0.3009698159277754,0.03814263763159619,essential_hit,1.4185892780115754
ABCB1,ABCB1,-0.3337777528250836,0.15249080149378702,sensitivity_hit,0.8167563529137596,0.06374388672045346,0.5764616798721142,target_non_hit,0.23922955701319862
ABCD3,ABCD3,-0.27484218580158054,0.041537215365918846,sensitivity_hit,1.3815626217092445,-0.0657079451200202,0.9080377685036022,target_non_hit,0.041896087259116144
ABHD2,ABHD2,-0.283023131320386,0.06892268112196685,sensitivity_hit,1.1616378366530942,0.012636021660052954,0.7176333792132854,target_non_hit,0.14409736919612728
ABI2,ABI2,0.24444201361116402,0.012200702496341137,resistance_hit,1.913615162644838,-0.12339977502902204,0.4733365056581968,target_non_hit,0.32482999966357873
ACADVL,ACADVL,-0.3215886083369203,0.03262377422897952,sensitivity_hit,1.4864657970664148,-0.042617881633464805,0.9753328792571845,target_non_hit,0.010847135120539631
ACTL7A,ACTL7A,-0.28556714349867757,0.0323042124802181,sensitivity_hit,1.4907408418290282,0.07819045038579671,0.5017971865048086,target_non_hit,0.29947177803309005
ACTR2,ACTR2,-0.25523124607762987,0.08201459256187305,sensitivity_hit,1.086108868283804,0.11366064160266524,0.041197318041369585,target_non_hit,1.3851310557568213
ACYP1,ACYP1,0.21135432495236905,0.01797410381871099,resistance_hit,1.7453527541462637,-0.23274013966712914,0.34321309936887917,target_non_hit,0.46443614484706786
ADAM2,ADAM2,-0.2921213387170664,0.07846269853915426,sensitivity_hit,1.1053367594169052,0.10737878287415636,0.37454837050198675,target_non_hit,0.42649208801637195
ADCK4,ADCK4,-0.22660443508059322,0.03596979717962175,sensitivity_hit,1.4440620110004887,0.07168049933247674,0.024558596664330117,target_non_hit,1.6097964534246145
ADCYAP1R1,ADCYAP1R1,-0.20414428721658714,0.00511034106193513,sensitivity_hit,2.291550114273599,0.09017472020983479,0.12448266990452017,target_non_hit,0.9048911055056919
ADH5,ADH5,0.322040910237571,0.08267893606185608,resistance_hit,1.0826051206446279,-0.2317343157625089,0.23045401830957007,target_non_hit,0.6374157149013254
ADIPOR1,ADIPOR1,-0.1979464982038476,0.026588582493917906,sensitivity_hit,1.5753048154130453,0.18308877154412903,0.028536438837241357,up_hit,1.5446002249786823
ADORA3,ADORA3,-0.25716844374178055,0.023672492694496863,sensitivity_hit,1.6257560088023695,-0.13390793489739541,0.35998762836805803,target_non_hit,0.4437124242988482
ADRB2,ADRB2,-0.20448271988652866,0.042351100298390405,sensitivity_hit,1.3731353020437362,0.01790069847226139,0.994011745648862,target_non_hit,0.002608483771349827
AFF1,AFF1,0.2531537852640516,0.05618506356449319,resistance_hit,1.2503791234644255,-0.024713305078424952,0.6305547538970593,target_non_hit,0.20027719571596958
AFF3,AFF3,0.28401891662966844,0.00011244284452966696,resistance_hit,3.949068176334679,-0.1403057894373827,0.2231385700051301,target_non_hit,0.6514253544467318
AFP,AFP,-0.3396635173974743,0.014038987665744256,sensitivity_hit,1.852664207521889,0.2427964128438139,0.06578911610105005,up_hit,1.1818459484563675
AGBL1,AGBL1,-0.15560506296027063,0.018914496774987972,sensitivity_hit,1.7232052087330196,-0.06684912715106843,0.4090453031341831,target_non_hit,0.3882285897637636
AGPAT1,AGPAT1,-0.30227298679406545,0.10107691096910913,sensitivity_hit,0.9953480391063947,0.19022937798077008,0.02491915329550698,up_hit,1.6034667182462645
AHCTF1,AHCTF1,0.167283040654883,0.026800546798239417,resistance_hit,1.571856345186302,-0.11157341272847117,0.2858205740017678,target_non_hit,0.5439065129353782
AKAP12,AKAP12,0.20189473915394776,0.042975690405968124,resistance_hit,1.366777137628839,-0.26205619417857157,0.17226858487440533,target_non_hit,0.7637939138441019
ALB,ALB,-0.3260525295300741,0.0486815168355645,sensitivity_hit,1.3126358983332487,0.38109450624652236,0.0109612510893487,up_hit,1.9601398737538818
ALDH2,ALDH2,0.32159368217412404,0.03506160393890479,resistance_hit,1.4551682204189953,-0.2259611898828163,0.029951747462092053,essential_hit,1.5235778346768398
ALDOB,ALDOB,-0.27572183439343956,0.07049314682588435,sensitivity_hit,1.1518531020209617,0.08158904536575484,0.3324707061365899,target_non_hit,0.4782466141915189
ALDOC,ALDOC,-0.23504949644886106,0.025710338232040594,sensitivity_hit,1.5898922099638058,0.03511951238555818,0.5903806140336114,target_non_hit,0.22886791161261608
