target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AADACL2,0.34144272356765715,0.003782600962987888,resistance_hit,2.422209471214007,-0.3264950432167377,0.020320158999567,essential_hit,1.6920728981418383
AARS,-0.5987325069109992,0.2018987919261007,sensitivity_hit,0.6948662796764591,-3.50817682840732,0.0003098607487013994,essential_hit,3.5088334340931664
AARS2,-0.9195002973260177,0.3185296742080311,sensitivity_hit,0.49685010259239243,-2.412572944393647,0.007187625266361308,essential_hit,2.1434145733262553
AASDHPPT,-0.9121583139034322,0.01448581341602656,sensitivity_hit,1.839057113012974,-1.6013758357333208,0.03249382301742554,essential_hit,1.4881991893106896
ABCA3,-0.501561072489153,0.09236574844823442,sensitivity_hit,1.0344890462869123,-1.2304242537041121,0.038398152405508396,essential_hit,1.415689671970923
ABCA8,0.3560932327084772,0.07851771341297076,resistance_hit,1.1050323563795816,-0.3499634617772445,0.2515311757834094,target_non_hit,0.5994081790708734
ABCB1,0.37202663645167033,0.009013986526135281,resistance_hit,2.0450830954362718,-0.24291374110869385,0.010075455680106546,essential_hit,1.9967353030150865
ABCB5,0.4201334661017685,0.05681538509586037,resistance_hit,1.2455340453191397,-0.4157561553778438,0.22972717345419527,target_non_hit,0.6387876309119745
ABCC6,0.28393577075649556,0.011354005210313873,resistance_hit,1.9448509108143188,-0.0545407915725226,0.8508783604291597,target_non_hit,0.07013252119656041
ABCF1,-0.4545792373031413,0.09118295053608566,sensitivity_hit,1.0400863588240283,-2.862449831546977,0.007915848035075371,essential_hit,2.10150255177763
ABCG4,0.27532536492588733,0.06300258480668337,resistance_hit,1.2006416323836995,-0.04664839940868578,0.9204305840869595,target_non_hit,0.03600895901738537
ABHD13,-0.3319110612909707,0.05920214018574036,sensitivity_hit,1.2276625930396363,-0.14277039491892535,0.4473677474653619,target_non_hit,0.34933532914131693
ABHD17A,0.22441113771788784,0.0011272868755679971,resistance_hit,2.947965549240502,-0.13616038483416554,0.49155833665054705,target_non_hit,0.30842493402307963
