target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
AAMDC,0.37871700572663825,0.1516385713407396,resistance_hit,0.8191903159216524,-0.018382985563540455,0.8449772174657066,target_non_hit,0.07315500047316345
AARS2,1.004759024067312,0.024081908855547913,resistance_hit,1.618309091642837,-2.412572944393647,0.007187625266361308,essential_hit,2.1434145733262553
AASDH,-0.35076576438871065,0.002035104749159306,sensitivity_hit,2.691413232231838,-0.08296125539123769,0.9698307687744565,target_non_hit,0.013304041609453988
AATF,1.2870194783409146,0.006656799519166694,resistance_hit,2.17673452236795,-2.837482933547157,0.0011064079090024634,essential_hit,2.956084728394181
ABCA1,0.4826954818815823,0.11569857276948255,resistance_hit,0.9366719983703007,-2.0849765010833665,0.06959967039026826,essential_hit,1.1573928171139585
ABCA10,-0.2980325533612821,0.02248984090118572,sensitivity_hit,1.6480136168623456,0.04644131242992995,0.3275945450985397,target_non_hit,0.4846633384541322
ABCA7,0.30486906250203205,0.08964440008211684,resistance_hit,1.0474768348178702,-0.5666178830681614,0.15145548809973283,essential_hit,0.8197149850696759
ABCB4,-0.4939975672103306,0.06423302735454044,sensitivity_hit,1.1922416088532781,0.06886844407923635,0.23149071235896812,target_non_hit,0.6354664286294598
ABCB7,0.517063660038318,0.09363094706745592,resistance_hit,1.0285805837485098,-4.1864503166975595,1.4272116084650826e-08,essential_hit,7.845511630546549
ABCC1,-1.1448462101819796,0.003943297834319754,sensitivity_hit,2.4041404197523675,0.15108152682798986,0.14233707004264728,target_non_hit,0.8466819782126694
ABCC3,0.23338369104768536,0.007316709455308033,resistance_hit,2.135684190348835,-0.9735566721242805,0.15146884139429073,essential_hit,0.8196766965495351
ABCC5,-0.36330745190661184,0.0666542406576061,sensitivity_hit,1.1761722148080989,-0.059092849015499084,0.9189586496586999,target_non_hit,0.03670403010363642
ABCE1,0.7756742271235677,0.01117131962984563,resistance_hit,1.9518955221297682,-2.564010097803263,0.0015797888424317003,essential_hit,2.801400957789346
ABCF3,0.3774043761915946,0.11692467605524094,resistance_hit,0.9320938246490174,0.10678094574872801,0.17213329184137985,target_non_hit,0.7641351258099929
ABHD17C,0.2865580028446758,0.05889099639372797,resistance_hit,1.229951097664758,0.021118342530954532,0.9232575993774245,target_non_hit,0.03467710896363562
ABI3,-0.2715751627922116,0.0654118530792294,sensitivity_hit,1.1843435473871564,0.08639013941615925,0.2563537107274379,target_non_hit,0.5911603917527941
ABL2,0.23601772262041099,0.05164936191261819,resistance_hit,1.2869350394791268,-0.26603913684157005,0.06694192303443576,target_non_hit,1.1743018158615997
ABT1,0.8852892749076903,0.03606644270015497,resistance_hit,1.442896690836048,-2.8542375272855374,0.0006816278409569015,essential_hit,3.166452679205237
ACAA2,-0.385516039577929,0.016800758102812677,sensitivity_hit,1.7746711211050905,-0.1286952058201652,0.9195424272613466,target_non_hit,0.03642822781753316
ACAD11,0.41421929254439077,0.1469879929587976,resistance_hit,0.8327181401138317,-0.7028741868936887,0.002120779618168784,essential_hit,2.6735044590581407
ACAD9,0.8649631800668266,0.0073969897418624765,resistance_hit,2.130944983576801,-1.3665191747929568,0.014369377012783133,essential_hit,1.8425620603818207
ACAT1,0.31774144145576144,0.04305046759246128,resistance_hit,1.3660221270971353,-0.2908936183333994,0.32466033274829653,target_non_hit,0.4885707705698863
ACBD4,0.3402254438355795,0.04524299008306318,resistance_hit,1.3444487005268047,-0.30460735033831304,0.21158446728696673,target_non_hit,0.6745162176347799
ACE2,0.3711552347465169,0.13606823163840823,resistance_hit,0.8662432593272406,-0.0037410640981473016,0.7746115815368406,target_non_hit,0.11091601398569598
ACHE,-0.27687875380755766,0.024706667861158833,sensitivity_hit,1.6071858230759861,0.10075872987732959,0.08206701650056669,target_non_hit,1.0858313548171934
ACOX1,0.2775342105026201,0.0758994919584222,resistance_hit,1.11976113109256,-0.4426653421378398,0.008107264551859618,essential_hit,2.0911256550895176
ACOX2,0.3299760536287237,0.11470141274412292,resistance_hit,0.9404312329862784,0.03931023415622725,0.054888746259202655,target_non_hit,1.2605166890385433
ACOX3,0.1912662693511324,0.00879404231664481,resistance_hit,2.055811448900402,-0.2341769225748016,0.07978567105032697,target_non_hit,1.0980750979041984
ACP2,-0.2412253735391201,0.00528394510248875,sensitivity_hit,2.2770417031336,-0.18858826080349989,0.32205288409603755,target_non_hit,0.4920728072319146
ACRC,-0.3541078012926316,0.007868256804371978,sensitivity_hit,2.104121474006689,0.10135209819207036,0.07432481217353883,target_non_hit,1.1288661796285573
ACTL6A,0.47571205570959235,0.13739506882714858,resistance_hit,0.8620288540274829,-2.3754768833135333,0.0012077438039839123,essential_hit,2.9180251818708354
ACTR10,0.5827732353456242,0.14900811314556328,resistance_hit,0.8267900846184358,-3.3141140147430512,0.001764491271716229,essential_hit,2.753380485592396
ACTR3,0.6168725094267431,0.003798789153367132,resistance_hit,2.420354810701757,-1.3820648565947873,0.014252741565712655,essential_hit,1.8461015895262884
ACTR6,0.4502923617632799,0.13691504538288196,resistance_hit,0.8635488252937817,-2.8244671374124097,0.009044264276683074,essential_hit,2.043626755898961
ADAMTS13,-0.28082684655212126,0.020696733096910926,sensitivity_hit,1.6840982009177017,0.24874635491706876,0.003368542830623954,up_hit,2.47255792627319
ADAMTS6,-0.26267277375168296,0.021810484870691652,sensitivity_hit,1.6613346794774606,0.17224670253491858,0.11488368029304671,target_non_hit,0.9397416602765618
ADAMTS8,-0.316212729113008,0.03831924105252052,sensitivity_hit,1.4165831011061876,0.15489159505986727,0.03294824492015833,target_non_hit,1.4821677143564993
ADAMTSL2,0.4134484318836981,0.16861394592712634,resistance_hit,0.7731065080700004,-0.886399882404944,0.2305165950248649,essential_hit,0.6372978040344329
ADAT2,0.6211621500923423,0.03517867882063505,resistance_hit,1.4537204750457604,-3.1963106781586546,0.0065555061751525825,essential_hit,2.183393769177785
ADAT3,0.6464873867012004,0.014907823745185336,resistance_hit,1.8265857505402747,-3.18787068884145,0.00023703269518109843,essential_hit,3.6251917453089013
ADH6,-0.26949964015926664,0.0050493260291458175,sensitivity_hit,2.2967665865064086,0.08746927794741075,0.0999731755912295,target_non_hit,1.0001165125546942
ADIPOQ,0.3276003430108358,0.061995695678969405,resistance_hit,1.2076384622398761,-0.1563077882270103,0.5544245619305308,target_non_hit,0.2561575380019395
ADIPOR1,0.5150599505529054,0.0344353019663173,resistance_hit,1.4629961042938688,-0.49357486829571534,0.08598166827738297,essential_hit,1.0655941326473348
ADNP,0.5016464186879626,0.08766132194762256,resistance_hit,1.0571919843981337,-0.7393480787335733,0.11891214262085872,essential_hit,0.924773795474014
ADORA2A,0.5351266650661061,0.03712898870679508,resistance_hit,1.430286879619511,-0.8065693778367289,0.06478289367368707,essential_hit,1.1885396571525246
ADSS,-0.7815758822298856,0.011091744032957799,sensitivity_hit,1.955000161304477,-0.5475312306628719,0.07038323661751307,essential_hit,1.15253076573604
AEBP2,-0.4183061305059531,0.011425604191328341,sensitivity_hit,1.9421208249542214,-0.43249923657784395,0.06998501800343934,essential_hit,1.1549949213404915
AFG3L2,1.0101607102696222,0.009664945525365934,resistance_hit,2.0148005894470837,-3.3513273304378814,2.8703148447345507e-05,essential_hit,4.542070462906652
AFMID,-0.3162401471442175,0.008931637169847276,sensitivity_hit,2.049068927599451,0.037981849411311185,0.3004787246063253,target_non_hit,0.5221862727899506
AFP,0.22479818719709127,0.0026481934425032416,resistance_hit,2.5770502941782314,0.09655481002680899,0.29246322398296726,target_non_hit,0.5339287368481379
AGBL3,-0.4156431706951859,0.09959128937807045,sensitivity_hit,1.0017786449143495,-0.3254845518511574,0.44384480364615564,target_non_hit,0.3527688602964966
AGK,-0.2617805807560816,0.007797957718683593,sensitivity_hit,2.1080191239303088,-0.39604733368246875,0.11769375061391547,target_non_hit,0.9292465970201799
AGO1,0.4388698108406636,0.1527510162487857,resistance_hit,0.8160158917252005,-0.19606947966088234,0.29639710036927713,target_non_hit,0.5281260493424472
AGO4,0.28874057061310043,0.04490040488037386,resistance_hit,1.3477497428158436,-0.36013243040142007,0.17528839812043961,target_non_hit,0.7562468277682475
AGR2,-0.22967667788655013,0.039934082593314275,sensitivity_hit,1.3986562881749864,-0.047936021895490136,0.9765138419140503,target_non_hit,0.010321596283668964
AGRP,-0.2689652843732415,0.021546512605542262,sensitivity_hit,1.666623012219318,0.2744489344908609,0.08124883464859596,target_non_hit,1.090182859386796
AGTR2,0.37291765092798945,0.1539948690431641,resistance_hit,0.8124937491853775,-0.3458937370350975,0.05475811674056348,target_non_hit,1.2615514966820518
AHCTF1,0.7235738910797103,0.0012286821891086782,resistance_hit,2.9105604371830576,-2.4050994083280592,0.0009507151093102208,essential_hit,3.0219496039780025
AHI1,-0.26628839228718837,0.014861949242630727,sensitivity_hit,1.827924226255054,-0.057482452029548714,0.8614897996612255,target_non_hit,0.06474986038318344
AIFM1,1.0114990132753312,0.00306630895840735,resistance_hit,2.51338408817331,-2.163098879571442,0.0017341991755189705,essential_hit,2.7609010245868846
AIMP2,0.30350024881564686,0.02499689005511631,resistance_hit,1.602114019964634,-0.42510852627045903,0.0006393139408068786,essential_hit,3.194285825286941
AJUBA,-0.3891067437376276,0.03312119154207178,sensitivity_hit,1.479894047767641,-0.10256986714884819,0.8061914066613052,target_non_hit,0.09356183538101584
AKAP1,-0.21983173561411018,6.444118891458794e-05,sensitivity_hit,4.19083645561654,-0.10046651858703874,0.5224596764478748,target_non_hit,0.28194722286659785
