target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
A2ML1,-0.431323669779082,0.17099490710373108,sensitivity_hit,0.7670168244013225,0.07275076247695128,0.5740925160681427,target_non_hit,0.24101811460510958
A3GALT2,-0.2716863010965612,0.058326962957104385,sensitivity_hit,1.2341306363817317,-0.05168562661914292,0.9495225444653597,target_non_hit,0.022494719372809488
AADAT,0.3220877938475524,0.05862004020306899,resistance_hit,1.2319538880476169,-0.14715895779002505,0.3829334227648582,target_non_hit,0.4168767263948708
AAMDC,0.6874941809396443,0.007225904613085677,resistance_hit,2.141107775716234,-0.018382985563540455,0.8449772174657066,target_non_hit,0.07315500047316345
AARS,-0.4921896228309089,0.17779576115279772,sensitivity_hit,0.750078597302217,-3.50817682840732,0.0003098607487013994,essential_hit,3.5088334340931664
AARS2,1.2219318063340594,0.2042569048251635,resistance_hit,0.6898232533914782,-2.412572944393647,0.007187625266361308,essential_hit,2.1434145733262553
ABCB4,-0.4168747045005786,0.07043712200934993,sensitivity_hit,1.1521983971822265,0.06886844407923635,0.23149071235896812,target_non_hit,0.6354664286294598
ABCB7,-1.326032811631525,0.31138450797475586,sensitivity_hit,0.5067029982818444,-4.1864503166975595,1.4272116084650826e-08,essential_hit,7.845511630546549
ABCB8,-0.21021703246434242,0.031910190730066415,sensitivity_hit,1.4960705999817379,0.1894078113112439,0.061380791687859086,target_non_hit,1.2119675143491089
ABCC1,-0.5621025717250501,0.008348044464994823,sensitivity_hit,2.0784152463758145,0.15108152682798986,0.14233707004264728,target_non_hit,0.8466819782126694
ABCC4,0.27942295270769035,0.008478076525590076,resistance_hit,2.0717026676815156,-0.03337753806140528,0.8221220743948612,target_non_hit,0.08506369061108633
ABCC5,-1.3292198500595924,0.11675214107977731,sensitivity_hit,0.9327351463026952,-0.059092849015499084,0.9189586496586999,target_non_hit,0.03670403010363642
ACACB,0.19342372276220104,0.006172338474813832,resistance_hit,2.2095502663883204,-0.23898366738957946,0.1690855578570476,target_non_hit,0.7718934853108652
